0.011689
1	685
2	604
3	516
4	10524
5	666
6	498
7	586
8	518
9	573
10	695
11	173
12	165
13	200
14	2000
15	1761
16	2080
17	2034
18	2192
19	1766
20	276
21	259
22	269
23	448
24	434
25	363
26	975
27	1133
28	931
29	198
30	129
31	81
32	144
33	153
34	108
35	123
36	93
37	85
38	64
39	137
40	101
41	28
42	20
43	24
44	12
45	11
46	15
47	6
48	10
49	8
50	6
51	1
52	2
53	1
54	0
55	76
56	56
57	34
58	263
59	261
60	195
61	475
62	362
63	426
64	437
65	342
66	286
67	879
68	868
69	774
70	1022
71	834
72	814
73	6210
74	5568
75	5557
76	2538
77	2458
78	2445
79	516
80	261
81	238
82	225
83	41
84	59
85	49
86	5
87	2998
88	2369
89	2743
90	2140
91	1631
92	1654
93	10834
94	11314
95	8148
96	14068
127357
