0.051786
1	265
2	315
3	301
4	16734
5	3
6	2
7	4
8	7
9	5
10	9
11	6
12	11
13	13
14	252
15	331
16	269
17	302
18	278
19	292
20	460
21	504
22	445
23	0
24	0
25	1
26	18
27	15
28	17
29	0
30	1
31	2
32	1
33	0
34	1
35	30
36	50
37	32
38	24
39	27
40	32
41	0
42	0
43	1
44	49
45	39
46	41
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	10
55	1
56	3
57	3
58	44
59	36
60	44
61	126
62	130
63	129
64	113
65	151
66	147
67	587
68	727
69	572
70	618
71	750
72	606
73	6711
74	6814
75	6775
76	12598
77	12730
78	12943
79	40
80	117
81	121
82	117
83	187
84	200
85	215
86	316
87	8
88	10
89	8
90	2
91	2
92	2
93	131
94	121
95	147
96	1
86303
