0,1	63083183340000.000000
2,3,4	63084674640000.000000
5,6	63085775220000.000000
7,8	63085955460000.000000
9,10	63085966740000.000000
11,12	63086302380000.000000
13,14	63086803620000.000000
15,16	63087755940000.000000
17,14	63087769980000.000000
18,19	63088637520000.000000
20,9	63088652100000.000000
10,21	63088807440000.000000
22,23	63088898940000.000000
24,25	63089328360000.000000
26,27	63089571600000.000000
14,28	63090706680000.000000
29,30,27	63091058940000.000000
2,31,18,32,29,33	63094679040000.000000
34,35	63095029800000.000000
15,34	63095977560000.000000
15,35	63096490560000.000000
32,11	63096575520000.000000
34,36	63097711020000.000000
11,26,27	63097807200000.000000
35,26	63098930820000.000000
37,31,36	63099017940000.000000
38,39	63099167040000.000000
40,17	63099513960000.000000
4,41	63099686340000.000000
1,42,43	63099795540000.000000
44,27	63100291440000.000000
3,44,34,11,45,35	63100292160000.000000
46,29	63101076180000.000000
27,34	63101176680000.000000
38,21,41,47,48,49	63101315160000.000000
9,36	63101335380000.000000
3,27	63101513520000.000000
29,50	63102026220000.000000
33,51	63102106620000.000000
52,53	63102112500000.000000
27,44,14,48,7,4	63103153200000.000000
39,2	63103413240000.000000
13,48,15	63103496880000.000000
14,54	63103904520000.000000
13,55,11,27,26,56	63103923960000.000000
23,2	63104368020000.000000
57,40	63104374620000.000000
25,19	63104440980000.000000
58,59	63105145560000.000000
26,21	63106435560000.000000
35,60	63106783200000.000000
44,2	63106784160000.000000
61,29	63108077340000.000000
29,62	63108082200000.000000
63,14	63108089340000.000000
9,39	63108325800000.000000
64,61	63108687600000.000000
65,11	63108761640000.000000
25,63,24,66	63108943020000.000000
10,22	63110132820000.000000
46,60	63111175320000.000000
67,68,61,69	63111863340000.000000
1,2,27,44,14,70,71	63112403040000.000000
44,21,18	63112471680000.000000
29,13	63112475700000.000000
27,2	63113160060000.000000
44,23	63113180760000.000000
72,70	63113692740000.000000
66,73,71,11,48	63113768040000.000000
23,57	63114111360000.000000
0,31	63114988680000.000000
74,65	63115312680000.000000
8,22,28	63115313100000.000000
75,69	63115838640000.000000
57,76	63115855560000.000000
19,26	63116093820000.000000
60,10,65	63116185260000.000000
5,13	63116536620000.000000
25,77,50	63116608440000.000000
57,14	63116809140000.000000
78,77	63117045900000.000000
79,36	63117076980000.000000
14,10	63117151920000.000000
72,80,2	63117213300000.000000
25,75	63117659340000.000000
48,11	63117662220000.000000
44,61	63117663480000.000000
63,3,15	63117822240000.000000
34,27	63118452660000.000000
3,52	63118454220000.000000
35,57,80,81	63118514700000.000000
1,44	63118610220000.000000
48,24	63118621680000.000000
13,27	63119459100000.000000
5,11	63119558700000.000000
3,82	63119653200000.000000
34,10	63120080880000.000000
10,44	63120182460000.000000
70,10	63120354120000.000000
10,66,61,9	63121284180000.000000
22,76	63121301520000.000000
75,31	63121533180000.000000
72,27	63121906260000.000000
31,61	63122233200000.000000
83,77	63122518140000.000000
84,11	63122608260000.000000
44,76	63122754840000.000000
46,10,80,85	63123264660000.000000
3,86,11,32	63123300660000.000000
22,46	63123705600000.000000
65,13	63123741600000.000000
22,65	63123787620000.000000
26,19,4,87,14,48,27,22,11,33,50	63123805560000.000000
10,20	63123823620000.000000
88,48,3,57,89,31,68,44,10,65,60	63123841560000.000000
14,36	63123889920000.000000
9,26	63123925920000.000000
10,2	63124310220000.000000
75,90	63124312920000.000000
91,22	63124346220000.000000
14,35	63124348920000.000000
5,92	63124464420000.000000
8,27	63124472160000.000000
59,29	63124507620000.000000
75,19	63124515360000.000000
55,77	63124649460000.000000
10,1,39,80,2,14,21,11	63124661880000.000000
21,10	63124692660000.000000
39,48,29,93,40,20,23,94	63124697880000.000000
95,7	63124901640000.000000
75,64,2,40	63124910880000.000000
96,38	63124924980000.000000
70,62	63124944840000.000000
33,13,48,59	63124946880000.000000
75,38	63124960980000.000000
4,74	63125093580000.000000
23,7	63125136780000.000000
90,10	63090029280000.000000
72,10,32,34	63090040920000.000000
95,14	63091155480000.000000
40,97	63091156560000.000000
32,14	63091409640000.000000
11,38	63091576200000.000000
74,9	63094695840000.000000
29,32	63095538060000.000000
