0,1	63083183340000
1,2,3	63084674640000
1,4	63085775220000
1,4	63085955460000
1,5	63085966740000
1,2	63086302380000
1,5	63086803620000
1,6	63087755940000
1,5	63087769980000
1,7	63088637520000
1,7	63088652100000
1,3	63088807440000
8,1	63088898940000
1,4	63089328360000
1,4	63089571600000
1,5	63090706680000
8,9,1	63091058940000
1,6,8,9,10,11	63094679040000
1,2	63095029800000
0,1	63095977560000
1,6	63096490560000
1,6	63096575520000
1,4	63097711020000
1,4,5	63097807200000
1,6	63098930820000
1,5,6	63099017940000
1,4	63099167040000
1,12	63099513960000
1,2	63099686340000
1,2,3	63099795540000
9,1	63100291440000
1,4,5,6,9,13	63100292160000
1,14	63101076180000
1,2	63101176680000
1,4,5,8,9,10	63101315160000
1,15	63101335380000
1,4	63101513520000
16,1	63102026220000
16,1	63102106620000
16,1	63102112500000
1,4,5,6,9,13	63103153200000
16,1	63103413240000
9,5,1	63103496880000
1,14	63103904520000
1,4,5,9,13,17	63103923960000
1,14	63104368020000
1,4	63104374620000
1,12	63104440980000
1,14	63105145560000
1,18	63106435560000
1,4	63106783200000
1,4	63106784160000
1,4	63108077340000
1,19	63108082200000
1,19	63108089340000
0,1	63108325800000
1,18	63108687600000
1,6	63108761640000
9,4,5,1	63108943020000
1,4	63110132820000
9,1	63111175320000
9,4,5,1	63111863340000
1,20,21,22,23,24,25	63112403040000
1,4,5	63112471680000
1,13	63112475700000
1,26	63113160060000
1,21	63113180760000
1,14	63113692740000
1,5,9,10,11	63113768040000
1,4	63114111360000
1,22	63114988680000
1,4	63115312680000
1,4,5	63115313100000
1,5	63115838640000
1,14	63115855560000
1,5	63116093820000
1,4,5	63116185260000
1,5	63116536620000
1,4,5	63116608440000
1,27	63116809140000
1,5	63117045900000
1,28	63117076980000
1,5	63117151920000
1,4,5	63117213300000
9,1	63117659340000
9,1	63117662220000
1,29	63117663480000
1,4,5	63117822240000
1,4	63118452660000
1,4	63118454220000
9,4,5,1	63118514700000
1,30	63118610220000
1,4	63118621680000
1,5	63119459100000
1,14	63119558700000
0,1	63119653200000
1,15	63120080880000
1,11	63120182460000
1,15	63120354120000
9,4,5,1	63121284180000
1,14	63121301520000
1,30	63121533180000
1,7	63121906260000
1,14	63122233200000
1,31	63122518140000
1,5	63122608260000
1,14	63122754840000
9,4,5,1	63123264660000
9,4,5,1	63123300660000
1,6	63123705600000
1,6	63123741600000
1,5	63123787620000
1,4,5,6,7,8,9,10,11,13,28	63123805560000
